"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON","1/23/2023 4:59 PM","6640922","Amazon Seller Central - US","15MIS_C-SPN-0031_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 5:00 PM","6640995","Amazon Seller Central - CA","15MIS_C-BLD-0163_MPK6","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 5:00 PM","6640849","Checkout Direct","15KIT_MK1001258","1","","MISHON - New Dundee","",""
"BW - MISHON","1/23/2023 5:05 PM","6640856","eBay Fixed Price US","15MIS_C-CCH-0123_MPK2","1","","MISHONC - Chesterfield","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:06 PM","6640891","Amazon Seller Central - US","15MIS_C-BLD-0186_MPK2","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:07 PM","6640892","Amazon Seller Central - US","15MIS_C-CCH-0093","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:08 PM","6640894","Amazon Seller Central - US","15MIS_K-TRE-0003","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:09 PM","6640875","eBay Motors Fixed Price US","15MIS_K-CRB-0051","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:10 PM","6640943","Amazon Seller Central - US","15MIS_C-BLB-0004","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:10 PM","6640893","Amazon Seller Central - US","15MIS_K-CAX-0123","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:11 PM","6640940","Amazon Seller Central - US","15KIT_MK1007601","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
